sampleid,Class
sample_0,1
sample_1,2
sample_2,1
sample_3,1
sample_4,3
sample_5,1
sample_6,4
sample_7,1
sample_8,3
sample_9,1
sample_10,3
sample_11,4
sample_12,1
sample_13,3
sample_14,3
sample_15,3
sample_16,2
sample_17,4
sample_18,4
sample_19,1
sample_20,3
sample_21,4
sample_22,2
sample_23,3
sample_24,4
sample_25,2
sample_26,5
sample_27,3
sample_28,3
sample_29,3
sample_30,3
sample_31,3
sample_32,4
sample_33,3
sample_34,1
sample_35,3
sample_36,4
sample_37,2
sample_38,3
sample_39,3
sample_40,4
sample_41,1
sample_42,1
sample_43,4
sample_44,4
sample_45,3
sample_46,1
sample_47,5
sample_48,3
sample_49,2
sample_50,3
sample_51,2
sample_52,3
sample_53,1
sample_54,5
sample_55,3
sample_56,3
sample_57,5
sample_58,4
sample_59,3
sample_60,2
sample_61,4
sample_62,3
sample_63,2
sample_64,1
sample_65,5
sample_66,3
sample_67,1
sample_68,4
sample_69,3
sample_70,4
sample_71,3
sample_72,3
sample_73,2
sample_74,3
sample_75,2
sample_76,3
sample_77,4
sample_78,1
sample_79,5
sample_80,3
sample_81,1
sample_82,3
sample_83,3
sample_84,1
sample_85,1
sample_86,3
sample_87,3
sample_88,4
sample_89,3
sample_90,1
sample_91,1
sample_92,3
sample_93,3
sample_94,3
sample_95,1
sample_96,5
sample_97,3
sample_98,1
sample_99,3
sample_100,3
sample_101,4
sample_102,3
sample_103,4
sample_104,2
sample_105,4
sample_106,2
sample_107,5
sample_108,2
sample_109,2
sample_110,1
sample_111,3
sample_112,2
sample_113,1
sample_114,3
sample_115,4
sample_116,4
sample_117,4
sample_118,3
sample_119,3
sample_120,2
sample_121,4
sample_122,2
sample_123,3
sample_124,1
sample_125,1
sample_126,1
sample_127,3
sample_128,4
sample_129,2
sample_130,5
sample_131,3
sample_132,5
sample_133,3
sample_134,3
sample_135,4
sample_136,2
sample_137,3
sample_138,4
sample_139,5
sample_140,3
sample_141,1
sample_142,3
sample_143,4
sample_144,2
sample_145,5
sample_146,1
sample_147,3
sample_148,2
sample_149,2
sample_150,2
sample_151,2
sample_152,3
sample_153,3
sample_154,2
sample_155,3
sample_156,3
sample_157,1
sample_158,1
sample_159,2
sample_160,1
sample_161,2
sample_162,4
sample_163,3
sample_164,1
sample_165,2
sample_166,5
sample_167,4
sample_168,2
sample_169,3
sample_170,4
sample_171,2
sample_172,3
sample_173,2
sample_174,3
sample_175,3
sample_176,3
sample_177,1
sample_178,3
sample_179,4
sample_180,5
sample_181,4
sample_182,3
sample_183,1
sample_184,1
sample_185,1
sample_186,2
sample_187,2
sample_188,3
sample_189,2
sample_190,2
sample_191,4
sample_192,2
sample_193,1
sample_194,2
sample_195,3
sample_196,3
sample_197,3
sample_198,2
sample_199,2
sample_200,3
sample_201,4
sample_202,4
sample_203,4
sample_204,4
sample_205,1
sample_206,3
sample_207,1
sample_208,3
sample_209,2
sample_210,2
sample_211,3
sample_212,1
sample_213,3
sample_214,1
sample_215,3
sample_216,3
sample_217,3
sample_218,2
sample_219,3
sample_220,4
sample_221,2
sample_222,4
sample_223,4
sample_224,2
sample_225,3
sample_226,4
sample_227,1
sample_228,3
sample_229,2
sample_230,2
sample_231,1
sample_232,5
sample_233,3
sample_234,4
sample_235,1
sample_236,4
sample_237,5
sample_238,3
sample_239,4
sample_240,4
